Two reactions fluxes result

Flux1 : R_EX_glc_e
Flux2 : R_EX_o2_e
Objective : R_Biomass_Ecoli_core_w_GAM

Flux1	Flux2	Objective
-10.0	-3.5	0.337653
-10.0	-2.0	0.283657
-10.0	-1.0	0.24766
-10.0	-1.5	0.265659
-10.0	-0.5	0.229661
-10.0	0.0	0.211663
-9.5	-20.0	0.809658
-9.5	-19.5	0.798181
-9.5	-19.0	0.786703
-9.5	-18.5	0.775225
-9.5	-18.0	0.763748
-9.5	-17.5	0.75227
-9.5	-17.0	0.740793
-9.5	-16.5	0.729315
-9.5	-16.0	0.717837
-9.5	-15.5	0.70636
-9.5	-15.0	0.694882
-9.5	-14.5	0.683404
-9.5	-14.0	0.671927
-9.5	-13.0	0.640292
-9.5	-13.5	0.656541
-9.5	-12.5	0.624044
-9.5	-12.0	0.607796
-9.5	-11.5	0.591547
-9.5	-11.0	0.575299
-9.5	-10.5	0.559051
-9.5	-9.5	0.526554
-9.5	-10.0	0.542802
-9.5	-9.0	0.510306
-9.5	-8.5	0.494057
-9.5	-8.0	0.477809
-9.5	-7.5	0.461561
-9.5	-7.0	0.445312
-9.5	-6.5	0.429064
-9.5	-6.0	0.412416
-9.5	-5.0	0.376419
-9.5	-5.5	0.394417
-9.5	-4.5	0.35842
-9.5	-4.0	0.340422
-9.5	-3.5	0.322423
-9.5	-3.0	0.304425
-9.5	-2.5	0.286426
-9.5	-2.0	0.268428
-9.5	-1.5	0.250429
-9.5	-1.0	0.232431
-9.5	-0.5	0.214432
-9.5	0.0	0.196433
